,Year,Cause,Deaths
0,2010,Cardiovascular Diseases,15597099
1,2011,Cardiovascular Diseases,15821594
2,2012,Cardiovascular Diseases,16076600
3,2013,Cardiovascular Diseases,14210519
4,2014,Cardiovascular Diseases,16534262
5,2015,Cardiovascular Diseases,17088895
6,2016,Cardiovascular Diseases,16792338
7,2017,Cardiovascular Diseases,17231608
8,2018,Cardiovascular Diseases,17347475
9,2019,Cardiovascular Diseases,17793218
10,2010,Neoplasms,8225312
11,2011,Neoplasms,8387556
12,2012,Neoplasms,8550922
13,2013,Neoplasms,8685345
14,2014,Neoplasms,8790219
15,2015,Neoplasms,9050964
16,2016,Neoplasms,9034802
17,2017,Neoplasms,9015240
18,2018,Neoplasms,9434173
19,2019,Neoplasms,9660256
20,2010,Chronic Respiratory Diseases,3449662
21,2011,Chronic Respiratory Diseases,3517054
22,2012,Chronic Respiratory Diseases,3539406
23,2013,Chronic Respiratory Diseases,3595582
24,2014,Chronic Respiratory Diseases,3420066
25,2015,Chronic Respiratory Diseases,3690767
26,2016,Chronic Respiratory Diseases,3624632
27,2017,Chronic Respiratory Diseases,3724660
28,2018,Chronic Respiratory Diseases,3793474
29,2019,Chronic Respiratory Diseases,3846512
30,2010,Lower Respiratory Infections,2441518
31,2011,Lower Respiratory Infections,2452863
32,2012,Lower Respiratory Infections,2436061
33,2013,Lower Respiratory Infections,2510062
34,2014,Lower Respiratory Infections,2468858
35,2015,Lower Respiratory Infections,2532705
36,2016,Lower Respiratory Infections,2342402
37,2017,Lower Respiratory Infections,2286627
38,2018,Lower Respiratory Infections,2374697
39,2019,Lower Respiratory Infections,2349738
